,id,language,Category,text
13,14,en,Display,"Value for Money Redmi has always have been the the king of budget segment.And yet another they gave us the Redmi 6 pro.It's a beautifully designed,strong and durable.And the camera is awesome just like the Note 5 pro,Display is crisp and the notch is in good shape, means it does take whole screen.Sound quality is clear and loud.But the headset experience is awesome.The Battery is 4000mah which is crazily optimized.In heavy useage it will give 2 day and a half in normal useage it give 3 days.And best thing is the inbuild Mi sercurity which loaded with features.You don't need third security apps.And the phone do charge little faster on it's stock adapter.Atleast 2hrs and 45mins.As it's a Qualcomm Chipset.

Verdict: The Base model is actually the Value for money deal. 3/32 GB.
I have been using the Redmi 6 pro for 3 weeks now. This is totally tested."
14,15,en,Others,Not worth for the money worst product from MI. I am a hardcore fan of MI. But this one really disappointing.
15,16,en,Display,"Redmi 6 pro (3/32 GB) review after using for one week. Over prised by at least around Rs.1000/- Low light photos are bad. Only one SIM support VOLTE.
Good things are best sound, good display, smooth touch, excellent battery life management, compact, nice photos and videos under good light. It never gets over heated while using or charging. I don't play games. I like MIUI. I have already Redmi 4 A (Rs.6000/-only) using for more than 14 months working superbly. I have good opinion about Redmi mobiles."
16,17,en,Display,"Fabulous! Pros:
notch display
Dual camera
Face unlock
4000 mah battery
Cons:
Some of the apps donot work in full screen mode.
No Front flash

Great product to purchase finally and its value for money.I got this phone for 10,500 and thanks to Xiaomi."
17,18,en,Camera,Fantastic Front camera is poor rest things are good
18,19,en,Others,Good Wooo
19,20,en,Others,"All youtubers are paid Realme is sub brand of oppo
He give money to all techi youtubers including big ones and tell him to promote more realme
But MI 6 Pro is much better than real me
Don't worry mi have given value for money as always"
20,21,en,Others,Awesome product awesome product at this range
21,22,en,Camera,"8-Oct Very nice looks , smooth operation , camera could have been better"
22,23,en,Others,Nice handy phone with good camera with notch Like every things but fullscreen video playing option is not available in default player...
23,24,en,Others,"dont buy these product. these copy of the product Please don't buy these product.. I have 3-mobile of MI but i did not face these type of issue. mobile data getting on and off automatically same things are happening with wifi, hot-spot and bluetooth. The handset behaving like cheap quality i think its duplicate or copy of original handset."
24,25,en,Battery,"Thanks alot Amazon Thanks alot Amazon,ecom & seller.perfect product no compromise in quality, good battery backup.smooth working no hanging problem.no heating issue.according to note 5 dual camera working properly.product packing is perfect again thanks alot Amazon, seller,ecom &&&&MI."
25,26,en,Display,"Pros and cons No company can provide u these features
Pros:
AWESOME display
Great video stablisation
Great battery
Great performance
Looks beatifull

Cons:
Okk front camera( not very bad considering price)"
26,27,en,Others,Design can be better The product is great with quite good features. I am great fan of xiaomi and I have been always using Xiaomi phones. But I am disappointed with mobile designing of Xiaomi as most of all the lower range and mid range phones have same design. Xiaomi always being giving with so many features but being realme entering in market Xiaomi has to be more creative to attract more indian customers.
27,28,en,Camera,Mi 6pro review Camera clarity is not good and average mobile I purchased first time mi mobile but not good compare to expect
28,29,en,Display,"Best phone u can get in this and within 20k budget Superb job by Xiaomi
Handy phone. Not huge size not slippery.
Better battery display processing speed. Overall its the best phone."
29,30,en,Display,"Superb Phone. Good for Performance. Good phone at such a valuable price. Notch display.
Value for money"
30,31,en,Others,Nice Good phone
31,32,en,Others,"Fantastic Great product, fully met my expectations...."
32,33,en,Others,Good Good
33,34,en,Others,Not good as expected Do not buy.
34,35,en,Others,High thinker No dual 4g if you think new mobile you buy realme 1
35,36,en,Others,good phone very good phone of this budget......red colour very beautiful
36,37,en,Delivery,Good service Nice product. Delivery guy also.
37,38,en,Camera,Bad camera Bad camera quality and heating problem
38,39,en,Battery,"Good phone in budget Good phone in budget. Good camera,battery and performance for normal use. Call sound is very good."
39,40,en,Battery,"Redmi Pro 6 Awesome sound quality , battery life is good , gaming is good no lags there ...Very poor camera if you r buying for a camera phone the m this is not the one.. Moto 5 MP camera works better than this"
40,41,en,Others,Nice Good phone
41,42,en,Others,"Fantastic Great product, fully met my expectations...."
42,43,en,Others,Good Good
43,44,en,Others,Not good as expected Do not buy.
44,45,en,Others,High thinker No dual 4g if you think new mobile you buy realme 1
45,46,en,Others,good phone very good phone of this budget......red colour very beautiful
46,47,en,Delivery,Good service Nice product. Delivery guy also.
47,48,en,Camera,Bad camera Bad camera quality and heating problem
48,49,en,Battery,"Good phone in budget Good phone in budget. Good camera,battery and performance for normal use. Call sound is very good."
49,50,en,Battery,"Redmi Pro 6 Awesome sound quality , battery life is good , gaming is good no lags there ...Very poor camera if you r buying for a camera phone the m this is not the one.. Moto 5 MP camera works better than this"
50,51,en,Battery,"Best Mobile in this price category. Nice mobile, battery backup is good, camera gud, one limitation is front camera- 5 no, slim & light weight mobile"
51,52,en,Display,THIK THAK. Like everything besides display.
52,53,en,Others,"Upto You A Bit Pricey compared to the competitors.
Nice and Sleek body feels Good on Hand.
Overall Performance Is good Enough less heat compered to mi redmi devices."
53,54,en,Battery,Batytery is not good mentioned 4000mah but not good Please dont't bye camera is good but battery back up not good
54,55,en,Camera,"Best phone with notch in this price Worth the price, no hybrid slim slot very good point, front camera is poor only 5mp and the handset is too heavy in weight. Handy phone small size full screen."
55,56,en,Others,"Quality is not good Worst phone from MI and Amazon
Touch was not good and didnot working as expected
Without touching the screen click is happening and unnecessary apps are opening"
56,57,en,Camera,Weste of money Both Camera quality is bed.its price is too high and quality are lowest.
57,58,en,Others,Dual 4G support I have purchsed this item and two jio sim are not working togeher. But in specification it is given that it supports dual 4g sim. What is this? Please dove my problem.
58,59,en,Display,Trust or not trust as your wish This product is very nice and battery life and notch display is very awesome
59,60,en,Battery,Awesome fantastic jhakass. lajawaab. It's very fantastic awesome mobile and nice sound quality. Awesome camera. Nice battery life. Awesome look but I think it's small size.
60,61,en,Display,"Redmi 6 pro is best in the same money range Battery life is awesome including display is too good, fast charging makes it extremely well. Good value for money."
61,62,en,Others,"Not value for money Good phone but not value for money, Prefer Redmi note 5 over this but was not in stock since last 2 months"
62,63,en,Battery,Good budget phone Works pretty good for a budget phone. Battery life is amazing but camera is a let down. Finger print is very fast.
63,64,en,Delivery,Charger not received in the box Charger not received in the box
64,65,en,Others,Good phone Width is little less. Still good phone. Face unlock and finger print unlocks are awasome
65,66,en,Others,Nice product Nice
66,67,en,Others,Nice performance Redmi is always good for me and Redmi 6 pro performance is very good and good Bettry backup
67,68,en,Others,"and brand like MI. Midrange phone with a notch...and brand like MI...
Aur kya chahiye"
68,69,en,Others,Missing part disapointing
69,70,en,Others,Not value for msny Worst phone
70,71,en,Delivery,Powerful device Powerful device I love mi ...thnax Amazon for quick delivery
71,72,en,Others,Ok Ok
72,73,en,Others,Awesome device Top class device... No words!!!
73,74,en,Others,Quality. Mobile is good also service of Amazon is better than other like paytm.
74,75,en,Camera,"Aswasom I love amezon
Good packing
Good product
Camera battry good"
75,76,en,Others,Awesome Sup up model in MI thank u .. low price best features available
76,77,en,Others,Fully satisfied One of the best..... In the price range
77,78,en,Display,"Awesome phone Phone is good Quality Dual Camera is Very Best
Full display show good dimensions"
78,79,en,Others,Desh ka smartphone One of the best of my purchases
79,80,en,Display,"Nice look Nice look with notch display, but sound is little bit low.."
80,81,en,Others,Nice Good phone
81,82,en,Others,"Overall a nice phone Sound quality is not so good
Either way the mobile best in its segment"
82,83,en,Display,Smart brand. Display is best.
83,84,en,Battery,Waste of money compare another phone Sometimes automatically speaker on and little hanging problem camera battery good.
84,85,en,Battery,"Great looking Picture perfect camera
Great sound
Good battery life
Value for money"
85,86,en,Display,"Redmi 6 Pro Best phone with notch Display ,Battery Backup, Quality Rear Camera.Value for Money."
86,87,en,Others,Nice one again from xiomi... Fabulous products by fabulous xiomi
87,88,en,Battery,Redmi 6 pro excellent Product this mobile awesome.... i loved it best battery life and performance...
88,89,en,Others,Awesome Best to buy...i love it??
89,90,en,Battery,"5/4.5 Battery is good
Phone is good
Camera is good
Praformens is good"
90,91,en,Delivery,"Great product Very happy with this mobile
Fast delivery got my parcel in just 22 hours"
91,92,en,Camera,Look like I phn x. ???????????????????? No change in camera quality. Other functions super se v uper... ????????????
92,93,en,Others,Wow phone Awesome phone....all features available....m super happy with phone
93,94,en,Battery,Good Sound and battery life good
94,95,en,Others,"Thanks to Amazon Very very nice and budget smartphone good xiaomi

Thanks Amazon"
95,96,en,Battery,Awesome phone Good mobile.. battery backup good
96,97,en,Others,Very good desain Sound qulity not dolby and processor performance not ok.
97,98,en,Camera,Not A camera fone Looking wise sexy but camera quality is not worth over all good
98,99,en,Others,Super phone This is the best phone mi phone
99,100,en,Others,"Ek jakas cellphone This cellphone is good & economical , more features available"
100,101,en,Others,"Ek jakas cellphone This cellphone is good & economical , more features available"
101,102,en,Others,Awesome One of best mobile compare to nokia 6 1 plus
102,103,en,Display,Redmi 6 pro reviee Display Quality and battery backup is good
103,104,en,Others,No dual volte I'm fan MI but No dual volte.. waste of money..
104,105,en,Battery,"Product is good This product is very good, battery backup is very good,"
105,106,en,Others,nice phone In this budget phone is good and Sound quality is also awesome
106,107,en,Others,Best smartphone I use this phone and I like all quality
107,108,en,Others,Best quality phone Best notch light weight phon.
108,109,en,Camera,"Looking osm Nice product and durability also good..
Best for camera's"
109,110,en,Others,Battery The Product is Bulky would have bring the weight down
110,111,en,Camera,Good Camera is good
111,112,en,Others,Good Good mm??????
112,113,en,Others,Good I didn't get 500/- discount . Buy through HDFC bank
113,114,en,Others,Gud Phone Better phone
114,115,en,Others,Good Good
115,116,en,Others,Nyc Good
116,117,en,Others,Good Good
117,118,en,Others,Np Good phone
118,119,en,Camera,Sound v acha nhi hai Front camera low hai cost jyada hair 9999 take think tha
119,120,en,Others,A good product from MI at an affordable price tag. Overall the product build and handling quality is good.
120,121,en,Others,Love this product Wonderful phone.....
121,122,en,Others,Good Low pictures clarity
122,123,en,Others,Good Hello
123,124,en,Others,Very good Good quality
124,125,en,Delivery,Awesome Fast delivery great
125,126,en,Others,Best budget phone This phone is simply awesome in this price range??
126,127,en,Others,Superb Good
127,128,en,Others,Good job Amazon One of the best phone under 12k.
128,129,en,Others,Value for money Nice mobile in this price range
129,130,en,Others,Good product Awesome product
130,131,en,Others,Average Average
131,132,en,Display,Excellent. Excellent mobile good display quality
132,133,en,Others,Sound speaker is not working Out of 2 only 1 speaker is working from day 1
133,134,en,Delivery,"Amazing Value for money...
Dislike late delivery"
134,135,en,Others,Bad service for return Bad facility for replacement
135,136,en,Others,I've fallen in love! I've fallen in love!
136,137,en,Others,Poor Poor
137,138,en,Others,Good Good
138,139,en,Others,Not value of money. worst product ever. don't buy it.
139,140,en,Others,"Excellent Awesome mobile, value of money..."
140,141,en,Others,Gud Nice phn
141,142,en,Display,battery life good notch. display better
142,143,en,Others,Better bakup osm Nice products ?? . . .
143,144,en,Others,waste of money waste of money
144,145,en,Others,Amazing Nice and super mobile
145,146,en,Others,best phone in budget awosome phone
146,147,en,Others,Battery life Phone system is nice
147,148,en,Others,Very nice Mobile is very nice.
148,149,en,Others,Good Good Product
149,150,en,Others,Must buy Great phone@
150,151,en,Others,Super farfamens Nice mobaile
151,152,en,Others,Amazing Mind blowing
152,153,en,Others,Camera Nice product
153,154,en,Others,Nice Like
154,155,en,Others,. Nice
155,156,en,Others,"Good, very good Good product Amazon"
156,157,en,Others,Marvellous It's awesome phone.
157,158,en,Others,Nice product in cheap price I have fall in love
158,159,en,Display,Great phone I loved the display
159,160,en,Others,Munish gupta All is well
160,161,en,Others,Good work. Nice phone.
161,162,en,Others,Value for money Superb????????????
162,163,en,Others,Bad video quality Video screen short
163,164,en,Others,?? ??
164,165,en,Others,Value for money very good Very good product
165,166,en,Others,Mi is best Simply Mi ia best
166,167,en,Others,Very good Very nice
167,168,en,Others,Excellent Excellent
168,169,en,Others,No thanks No thanks
169,170,en,Battery,Good phone Battery and camera
170,171,en,Others,Gud product Value for money
171,172,en,Others,battery daaaaaaaam good
172,173,en,Others,Super Value for money
173,174,en,Others,Coustly Selfi flesh not
174,175,en,Others,"Value for money, must buy Perfect"
175,176,en,Others,Value of money Superb product
176,177,en,Others,Best Best for price
177,178,en,Others,Very good product Really like it
178,179,en,Others,Not ok Not ok
179,180,en,Others,Good User friendly
180,181,en,Battery,Handy Slow charging
181,182,en,Others,Good service Good product
182,183,en,Others,Good rear camera Overall good
183,184,en,Others,Looking smart Good
184,185,en,Others,Nice Nice
185,186,en,Others,Good Good
186,187,en,Others,Awesome Good
187,188,en,Others,Best Phone from Redmi Series Best
188,189,en,Others,super super
189,190,en,Others,nice for value all is fine
190,191,en,Others,Mi Nice mobile
191,192,en,Others,Camera Nice mobile
192,193,en,Others,Very good Yes
193,194,en,Others,Great Best phone
194,195,en,Others,Best mobile Too good
195,196,en,Others,Worthy Good one
196,197,en,Others,Case back no ritan Case back
197,198,en,Others,Best Phone Mi Best
198,199,en,Others,Battery Its osm
199,200,en,Others,Fantastic Super
200,201,en,Others,Excellent Good
201,202,en,Others,Good Good
202,203,en,Others,Nice Nice
203,204,en,Others,Awesome Good
204,205,en,Others,Nice Nice
205,206,en,Others,good good
206,207,en,Others,Good Good
207,208,en,Others,Midil Nice
208,209,en,Others,Gty Jiiy
209,210,en,Others,Good Good
210,211,en,Others,Superb Good
211,212,en,Others,Joordaar maja aaa gya Nice
212,213,en,Others,res for custmer like
213,214,en,Others,Best display and advance features Nice
214,215,en,Others,Nice phone Ok
215,216,en,Others,Ni No
216,217,en,Others,Launch display Ok
217,218,en,Others,Super Good
218,219,en,Camera,Worst front camera on a Mi device till date. It has a worst front camera I have ever seen on a Mi device.Its just disgusting to see such a poor front camera on a Rs.11000 device.Very much disappointed.
219,220,en,Display,"Look some other options guys.... It's just a crap. Guys, just don't buy Redmi 6 pro for now atleast. Got it delivered yesterday, I have both Gold and Black Variant. Black looks nice. But wait, It's just an unpolished product. The Pinch to fill the video doesn't work in Mi Video app. The left edge remains like this ""|"" and right "")"" even this happens in Youtube. Both apps leave way too much on both sides if I let it to original. Making it a 5 inch screen display. There is No Indian City name in Time Zone, it's shown as GMT+5:30. It automatically detects the time zone as China. Why?? Has to change time, manually!!!! Then, How the heck they say that this is Made in India. While setting up the phone, the Limitless theme has Icons written in chinese. The camera app is inconsistent. The so called AI doesn't seem to be going well with SD625. My friend has RN5 pro. I think they both have same app. But his camera shows icon within screen top as if its going to shoot it with Flash or HDR. But, no this is just a crap..

So, a 5.84 screen display is just a waste if I cann't watch video to its limit. What's the purpose served by notch then and what am I supposed to do with that 5.84 inch screen???? No more notification icons in the notification bar, No more connection speed and battery percentage too, until you drop that notification panel. Stupid MI !!!!"
220,221,en,Camera,"#Horrible experience of Redmi 6pro - Readon to know more## Please don't buy!!

Horrible phone from Xiaomi!!

The phone is just for people who like showing off the new iPhone notch design. The phone uses an outdated processor and lags terrible in term of performance. When we use more than 4apps at a time, the phone will get hanged and you will be forced to restart the phone. Watching videos for more than 20mins the phone gets extrmely heated and you will have to put it to stanby fir a while before resarting the use of the phone. Very bad multi-tasking. The build quality is okay, but not as good as other budget phone. A flat drop on the front screen side if hit hardly will crack the screen. The front camera is extremely poor and has been downgraded and doesn't produce even a decent quality picture. Selfie lovers, please don't even buy this phone you will get a heart ache after looking at your pix. The rear camera picture quality is average and is very unlike of xiaomi.

On the other side, the basic things like the output from the speaker phone and and the earphone are extremely poor and distorted...

The only con is a decent screen, however that is contributed by low quality video while played in amazon or netflix..

Had complained to Amazon on the above low quality issues, unfortunately Amazon is not willing to listen, they are saying technically the phone is working and hence it can't taken back.. Unfortunately, in this case Amazon has put its sellers over it buyers who are their bread and butter. Hope Amazon listens to my complaint here and takes measures to improve their service... Just to put things into perspective, an average 6-7k phone is sold at an extremely abnoxiously at a high price of 11k. You can find many better phone at this high price. Please stop buying this phone. Thanks for reading. Extremely sadened on buying this phone..."
221,222,en,Display,"Got a defective one and requested for a replacement Phone is really nice and good looking.
I think I got a defective one. Because there is a blue colour appears on the side of the screen. You can see it on the image shown below. I don't know I'm the one who facing this or is it a common problem. Plz let me know if you're facing the same. Also there is some touch issues when we using keyboard for typing. The typing is not smooth and it lag a lot. But the problem appears only on keyboard. I don't know wether it's a physical problem or a software problem. I wish the replacement phone will don't have these problems. Dear MI team you should consider the blue colour problem on resmi 6 pro display. It may affect your smartphone marketing. Dear MI Please make quality product as shows in your TV Advertising. I'm waiting to get the replacement. Amazon lag in replacement policy without a hand to hand replacement. Hate to purchase from Amazon"
222,223,en,Camera,"cant connect to camera good rear camera and bad front camera but software problem so cant connect to camera error comes on startup of camera!
Far better than asus zenfone max pro m1.
Now feeling the Sony camera quality.
Front camera is wow (5mp) still taking better than 13mp pics
I am using this phone as a pro photographer now
Wait for one month and you will get 1000/- off on it.
Thanks amazon
Thanks Mi India."
223,224,en,Camera,"Worst Camera Front camera of this phone is like a VGA camera, having very noisy effect. I recommend that please don't buy this phone."
224,225,en,Display,"This mobile is defective I say this product is very defective camera is not working proper and speed is very slow and company. Refunding my money the amazon customers care representative ,s behavior is very bad there is option of return on display the amazon company,s app but not return this product so I request to all customers be care full"
225,226,en,Others,Camera not good Not good photo crirati
226,227,en,Camera,Not worth the money paid. Worst camera & screen size Camera is too worst considering price of the phone. Front camera worst than other ordinary mobiles. Processor not that much fast than other 2 ghz speed mobiles of redmi. Notch is only for namesake and size sake. It's a big let down. Bought this phone considering notch option. But redmi disappointed here. Is redmi started thinking India as dump yard. Redmi Y2 is better option than this.
